oid,admin_set
2034600,brbl
2046567,brbl
2055095,brbl
2041002,brbl
2030006,brbl
16712419,brbl
2004628,brbl
16414889,brbl
14716192,brbl
11913649,brbl
11607445,brbl
2005512,brbl
16570776,brbl
2057976,brbl
2019757,brbl
2019759,brbl
16301942,brbl
2107188,brbl
16189096,brbl
16189097,brbl
15234629,brbl
2003431,brbl
10269867,brbl
11684565,brbl
10958722,brbl
16425155,brbl
2111169,brbl
16156712,brbl
16162984,brbl
16173726,brbl
16371253,brbl
16371272,brbl
16057777,brbl
16057779,brbl
16057780,brbl
16371267,brbl
2012315,brbl
16700283,brbl
16685691,brbl
2012143,brbl
2012036,brbl
10001192,brbl
16797069,brbl
16854582,brbl
16854285,brbl
2002826,brbl
2004548,brbl
2004549,brbl
