child_oid,parent_oid,order,parent_title,label,caption,viewing_hint
1011398,2002826,1,Roe,[Portrait of Grace Nail Johnson],,
1021925,2002826,2,Roe,"[Photograph of Mrs. Grace Nail Johnson standing, with hat and with handbag] recto",,
1021926,2002826,3,Roe,"[Photograph of Mrs. Grace Nail Johnson standing, with hat and with handbag] verso",,
1021927,2002826,4,Roe,[Photograph of Grace Nail Johnson with arms folded] recto,,
1021928,2002826,5,Roe,[Photograph of Grace Nail Johnson with arms folded] verso,,
16722402,2002827,3,Johnsons in Nicaragua,Old Church [recto],,
16722403,2002827,4,Johnsons in Nicaragua,Old Church [verso],,
16722404,2002827,5,Johnsons in Nicaragua,Information and Supplier [recto],,
16722405,2002827,6,Johnsons in Nicaragua,Information and Supplier [verso],,
16722406,2002827,7,Johnsons in Nicaragua,The American Consulate [recto],,
16722407,2002827,8,Johnsons in Nicaragua,The American Consulate [verso],,
16722408,2002827,9,Johnsons in Nicaragua,[Snapshot of information shelves recto],,
16722409,2002827,10,Johnsons in Nicaragua,[Snapshot of information shelves verso],,
16722410,2002827,11,Johnsons in Nicaragua,Along the waterfront [recto],,
16722411,2002827,12,Johnsons in Nicaragua,Along the waterfront [verso],,
16722412,2002827,13,Johnsons in Nicaragua,"Corinto Nicaragua, While J.W.J. was American Consul [recto]",,
16722413,2002827,14,Johnsons in Nicaragua,"Corinto Nicaragua, While J.W.J. was American Consul [verso]",,
16722414,2002827,15,Johnsons in Nicaragua,"Corinto, Nicaragua [recto]",,
16722415,2002827,16,Johnsons in Nicaragua,"Corinto, Nicaragua [verso]",,
16722416,2002827,17,Johnsons in Nicaragua,"Part of the [?] at Corinto, Nicaragua [recto]",,
16722417,2002827,18,Johnsons in Nicaragua,"Part of the [?] at Corinto, Nicaragua [verso]",,
16722418,2002827,19,Johnsons in Nicaragua,"Le Pageant, Corinto, Nicaragua [recto]",,
16722419,2002827,20,Johnsons in Nicaragua,"Le Pageant, Corinto, Nicaragua [verso]",,
16722420,2002827,21,Johnsons in Nicaragua,An uprising… [recto],,
16722421,2002827,22,Johnsons in Nicaragua,An uprising… [verso],,
16722422,2002827,23,Johnsons in Nicaragua,"All at Corinto, Nicaragua [recto]",,
16722423,2002827,24,Johnsons in Nicaragua,"All at Corinto, Nicaragua [verso]",,
16722424,2002827,25,Johnsons in Nicaragua,A martial display of an earlier time [recto],,
16722425,2002827,26,Johnsons in Nicaragua,A martial display of an earlier time [verso],,
16722426,2002827,27,Johnsons in Nicaragua,"[?] Wharf, Corinto, Nicaragua [recto]",,
16722427,2002827,28,Johnsons in Nicaragua,"[?] Wharf, Corinto, Nicaragua [verso]",,
16722428,2002827,29,Johnsons in Nicaragua,"A family group, León, Nicaragua [recto]",,
16722429,2002827,30,Johnsons in Nicaragua,"A family group, León, Nicaragua [verso]",,
16722430,2002827,31,Johnsons in Nicaragua,"Family of [?] at Corinto, Nicaragua [recto]",,
16722431,2002827,32,Johnsons in Nicaragua,"Family of [?] at Corinto, Nicaragua [verso]",,
16722432,2002827,33,Johnsons in Nicaragua,"Family of [?] at Corinto, Nicaragua [recto]",,
16722433,2002827,34,Johnsons in Nicaragua,"Family of [?] at Corinto, Nicaragua [verso]",,
16722434,2002827,35,Johnsons in Nicaragua,Consul and Consular [recto],,
16722435,2002827,36,Johnsons in Nicaragua,Consul and Consular [verso],,
16722436,2002827,37,Johnsons in Nicaragua,Consul and Consular [verso with tissue paper lifted],,
16722437,2002827,38,Johnsons in Nicaragua,"[Captain Hayes, Grace Nail Johnson, and Dr. Read (surgeon) recto]",,
16722438,2002827,39,Johnsons in Nicaragua,"[Captain Hayes, Grace Nail Johnson, and Dr. Read (surgeon) verso]",,
16722439,2002827,40,Johnsons in Nicaragua,From the American Consuloate [recto],,
16722440,2002827,41,Johnsons in Nicaragua,From the American Consuloate [verso],,
16722441,2002827,42,Johnsons in Nicaragua,Bridal picture at Panama 1910 of Mrs. James Weldon Johnson [recto],,
16722442,2002827,43,Johnsons in Nicaragua,Bridal picture at Panama 1910 of Mrs. James Weldon Johnson [verso],,
16722443,2002827,44,Johnsons in Nicaragua,Marine Ship Cruiser [recto],,
16722444,2002827,45,Johnsons in Nicaragua,Marine Ship Cruiser [verso],,
16722445,2002827,46,Johnsons in Nicaragua,Children of a Peasant Family [recto],,
16722446,2002827,47,Johnsons in Nicaragua,Children of a Peasant Family [verso],,
16722447,2002827,48,Johnsons in Nicaragua,"Ship-harbor, sunset [recto]",,
16722448,2002827,49,Johnsons in Nicaragua,"Ship-harbor, sunset [verso]",,
16722449,2002827,50,Johnsons in Nicaragua,Aboard Gunboat[?] of Captain Hayes… [recto],,
16722450,2002827,51,Johnsons in Nicaragua,Aboard Gunboat[?] of Captain Hayes… [verso],,
16722451,2002827,52,Johnsons in Nicaragua,[Group portrait of nine recto],,
16722452,2002827,53,Johnsons in Nicaragua,[Group portrait of nine verso],,
16722453,2002827,54,Johnsons in Nicaragua,Visiting the Mays[?] [recto],,
16722454,2002827,55,Johnsons in Nicaragua,Visiting the Mays[?] [verso],,
1013643,2003309,1,"Van Vechten, Carl","Postcard of Augusta Savage's ""Lift Every Voice."" [Postcard from Carl Van Vechten to Grace Nail Johnson.] recto",,
1013644,2003309,2,"Van Vechten, Carl","Postcard of Augusta Savage's ""Lift Every Voice."" [Postcard from Carl Van Vechten to Grace Nail Johnson.] verso",,
1014190,2003337,1,"Van Vechten, Carl","Letter to Grace Nail Johnson, February 20, 1940",,
1014191,2003337,2,"Van Vechten, Carl","Letter to Grace Nail Johnson, February 20, 1940",,
1019341,2004189,1,Adult Education Council of Chicago,"The Shame of America: Do you know that the United States is the only land on earth where human beings are burned at the stake? …, recto",,
1019342,2004189,2,Adult Education Council of Chicago,"The Shame of America: Do you know that the United States is the only land on earth where human beings are burned at the stake? …, verso",,
1035370,2006563,1,"Scrapbooks and clippings, ""Institute of Pacific Relations"" (in Series V, Personal Papers)",[Invitation from the Emperor of Japan.] recto,,
1035371,2006563,2,"Scrapbooks and clippings, ""Institute of Pacific Relations"" (in Series V, Personal Papers)",[Invitation from the Emperor of Japan.] verso,,
1035372,2006563,3,"Scrapbooks and clippings, ""Institute of Pacific Relations"" (in Series V, Personal Papers)",[Photograph of Geisha dancing with a fan.],,
1035373,2006563,4,"Scrapbooks and clippings, ""Institute of Pacific Relations"" (in Series V, Personal Papers)",[Photograph of Geisha dancing with a hat.],,
1044230,2008287,1,"Notebook 8, holograph, signed",National hymn [Lift Every Voice and Sing] p. 61,,
1044231,2008287,2,"Notebook 8, holograph, signed",National hymn [Lift Every Voice and Sing] p. 63,,
1061092,2014684,1,Unidentified,[Photograph of James Weldon Johnson] recto,,
1061093,2014684,2,Unidentified,[Photograph of James Weldon Johnson] verso,,
15535546,2014684,3,Unidentified,[Photograph of James Weldon Johnson seated at desk - Executive Secretary of the NAACP] recto,,
15535547,2014684,4,Unidentified,[Photograph of James Weldon Johnson seated at desk - Executive Secretary of the NAACP] verso,,
1130100,2036305,1,"Roosevelt, Eleanor","[Letter] 1933 Nov 6, [to] Mrs. Anna Eleanor Roosevelt, The White House, Washington, D.C.",,
1130101,2036305,2,"Roosevelt, Eleanor","[Autograph letter signed] 1935 Oct 29, [to] Mr. Johnson, [New York, New York]",,
1130102,2036305,3,"Roosevelt, Eleanor","[Autograph letter signed] 1935 Oct 29, [to] Mr. Johnson, [New York, New York, envelope]",,
1130103,2036308,1,"Roosevelt, Franklin D. (secretary)","Postal telegraph 1938 Jan 24, [to] Hon. Franklin D. Roosevelt, The White House, Washington, D.C., recto",,
1130104,2036308,2,"Roosevelt, Franklin D. (secretary)","Postal telegraph 1938 Jan 24, [to] Hon. Franklin D. Roosevelt, The White House, Washington, D.C., verso",,
1130105,2036310,1,"Schomburg, Arthur Alfonso","[Autograph letter signed] 1916 Jun 20[?], [to] Mr. Johnson.",,
1130106,2036310,2,"Schomburg, Arthur Alfonso","[Autograph letter signed] 1930 Jul 27, [to] Johnson.",,
17235994,2036330,6,from James Weldon Johnson,,,
17235995,2036330,7,from James Weldon Johnson,,,
17235996,2036330,8,from James Weldon Johnson,,,
17235997,2036330,9,from James Weldon Johnson,,,
17235998,2036330,10,from James Weldon Johnson,,,
17235999,2036330,11,from James Weldon Johnson,,,
17236000,2036330,12,from James Weldon Johnson,,,
17236001,2036330,13,from James Weldon Johnson,,,
17236002,2036330,14,from James Weldon Johnson,,,
17236003,2036330,15,from James Weldon Johnson,,,
17236004,2036330,16,from James Weldon Johnson,,,
17236005,2036330,17,from James Weldon Johnson,,,
17236006,2036330,18,from James Weldon Johnson,,,
17236007,2036330,19,from James Weldon Johnson,,,
17236008,2036330,20,from James Weldon Johnson,,,
17236009,2036330,21,from James Weldon Johnson,,,
17236010,2036330,22,from James Weldon Johnson,,,
17236011,2036330,23,from James Weldon Johnson,,,
17236012,2036330,24,from James Weldon Johnson,,,
